ticker,fiscal_year,fiscal_period,report_date,revenue,gross_profit,operating_income,pretax_income,net_income,net_income_common,currency
LDI,2022,FY,2022-12-31,200204000,49307000,-1282520000,-689977000,-273020000,-273020000,USD
LDI,2023,FY,2023-12-31,133263000,3118000,-582298000,-278308000,-110142000,-110142000,USD
LDOS,2019,FY,2020-01-31,11094000000,1548000000,899000000,866000000,667000000,667000000,USD
LDOS,2020,FY,2021-01-31,12297000000,1737000000,967000000,781000000,628000000,628000000,USD
LDOS,2021,FY,2022-01-31,14396000000,2084000000,1134000000,886000000,685000000,685000000,USD
LE,2019,FY,2020-01-31,1450201000,621892000,45437000,21362000,19290000,19290000,USD
LE,2020,FY,2021-01-31,1427448000,605853000,41142000,12592000,10836000,10836000,USD
LE,2021,FY,2022-01-31,1636624000,691460000,79786000,45969000,33369000,33369000,USD
LE,2022,FY,2023-01-31,1555429000,593766000,24725000,-14679000,-12530000,-12530000,USD
LE,2023,FY,2024-01-31,1472508000,625527000,29185000,-131817000,-130684000,-130684000,USD
LEA,2020,FY,2020-12-31,17045500000,1108900000,454100000,327800000,158500000,158500000,USD
LEA,2021,FY,2021-12-31,19263100000,1391900000,675400000,599300000,373900000,373900000,USD
LEA,2022,FY,2022-12-31,20891500000,1409900000,654300000,542400000,327700000,327700000,USD
LEA,2023,FY,2023-12-31,23466900000,1710400000,933200000,826500000,572500000,572500000,USD
LEAF,2020,FY,2020-12-31,212061000,68278000,-17815000,-8738000,-8860000,-8860000,USD
LEAT,2020,FY,2020-12-31,38604289,17388620,5819511,6042405,4423872,4423872,USD
LEAT,2021,FY,2021-12-31,72475813,31446103,16655300,16615585,12574437,12574437,USD
LEAT,2022,FY,2022-12-31,76335539,31132827,13250851,13003326,9960453,9960453,USD
LEAT,2023,FY,2023-12-31,47241187,19806072,1314502,1379348,803159,803159,USD
LECO,2020,FY,2020-12-31,2655400000,871341000,327539000,264040000,206115000,206115000,USD
LECO,2021,FY,2021-12-31,3234180000,1068605000,471496000,324998000,276580000,276580000,USD
LECO,2022,FY,2022-12-31,3761211000,1280760000,624124000,592827000,472224000,472224000,USD
LECO,2023,FY,2023-12-31,4191636000,1465445000,706535000,686866000,545248000,545248000,USD
LEDS,2020,FY,2020-08-31,6068000,1590000,-2756000,-547000,-544000,-544000,USD
LEDS,2021,FY,2021-08-31,4735000,1033000,-4204000,-2857000,-2851000,-2851000,USD
LEDS,2022,FY,2022-08-31,7051000,1397000,-3396000,-2726000,-2744000,-2744000,USD
LEDS,2023,FY,2023-08-31,5979000,1007000,-3404000,-2690000,-2690000,-2690000,USD
